Issue Number,Title,State,Created At,Updated At,Assignee,Labels
4854,"Y-axis 0 value is labelled as -0%, not 0%. ",open,2020-05-22T06:39:01Z,2024-08-09T17:23:38Z,,"bug, P3"
4853,[IE11] Zoom using scroll doesn't work,closed,2020-05-21T19:22:33Z,2020-06-04T18:34:28Z,,bug
4852,unable to set tickwidth and tickcolor via template,closed,2020-05-21T15:47:20Z,2024-06-17T18:26:18Z,,bug
4851,Fix setting array tickmode on date & log axes ,closed,2020-05-20T18:43:47Z,2020-05-21T16:29:53Z,,bug
4850,cdn.plot.ly lacks IPv6 support,open,2020-05-20T15:52:13Z,2024-08-09T17:23:51Z,,"bug, P3, infrastructure"
4848,Explicitly setting tickmode to array disables tickvals in date axis,closed,2020-05-20T13:44:48Z,2020-05-21T16:29:49Z,archmoj,bug
4846,Sankey Diagram hover-label opacity unaffected ,open,2020-05-20T05:39:46Z,2024-08-09T17:23:58Z,,"bug, P3"
4844,Empty array axis anchor leads to fatal id.match is not a function error,closed,2020-05-19T21:23:00Z,2020-05-22T21:48:33Z,archmoj,bug
4839,Plotly.react doesn't transition correctly when only annotations are changed,open,2020-05-19T00:27:38Z,2024-08-09T17:24:03Z,,"bug, P3"
4836,Lines on scatter graph not showing up,open,2020-05-15T15:07:34Z,2024-08-09T17:24:24Z,,"bug, P3"
4835,Y-axis labels going over y-axis title,closed,2020-05-14T15:27:33Z,2020-12-02T20:53:17Z,,"bug, feature"
4832,Fix react category order of matching axes,closed,2020-05-14T00:24:36Z,2020-05-14T18:18:05Z,,bug
4831,Fix rangebreaks overlapping and tick positions,closed,2020-05-13T22:50:03Z,2020-06-03T17:32:43Z,,bug
4829,Fix for histogram2d with rangebreaks,closed,2020-05-13T14:19:17Z,2020-05-13T17:05:44Z,,bug
4828,problem with the time-zone on making baselines,closed,2020-05-12T14:10:40Z,2020-06-08T20:48:16Z,,bug
4827,Fix legend title react,closed,2020-05-11T18:43:36Z,2020-05-11T19:28:39Z,,bug
4826,faceting react() bug,closed,2020-05-11T18:06:33Z,2020-05-14T18:18:00Z,archmoj,bug
4825,histogram2d problem with rangbreaks,closed,2020-05-11T16:07:36Z,2020-05-13T17:05:35Z,archmoj,bug
4821,Fix rangebreaks on heatmap with 2d z array,closed,2020-05-07T22:08:18Z,2020-05-11T18:01:04Z,,bug
4820,"Default violin bandwidth misnamed: should be Scott's, not Silverman's",open,2020-05-07T17:58:09Z,2024-11-20T17:43:20Z,,"bug, P3"
4819,Long axis title not shown properly,open,2020-05-07T17:18:16Z,2024-08-09T17:24:55Z,,"bug, P3"
4818,plot & hover problems of heatmap (case of 2d-z array) with rangebreaks,closed,2020-05-07T16:35:46Z,2020-06-05T03:42:27Z,archmoj,bug
4816,Fix react to plot_bgcolor changes,closed,2020-05-06T20:17:30Z,2020-05-06T22:29:25Z,,bug
