Filepath,Filename,Version,Date,Average Line Length,Blank Lines,Code Lines,Comment Lines,Difficulty,Effort,Final Score,Grade,Length,Total Lines,Total Operands,Total Operators,Unique Operands,Unique Operators,Vocabulary,Volume,class,else,except,for,if,import,lambda,return,try,while,with
plotly/js/versions/2017/Q1_2017-01-02/src/plots/font_attributes.js,font_attributes.js,,2017-01-02,36.76,3,37,0,8.67,15980.92,65,B-,263,40,169,94,117,12,129,1843.95,,,,,2,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/frame_attributes.js,frame_attributes.js,,2017-01-02,30.57,2,53,0,11.87,19715.68,55,C,249,55,178,71,90,12,102,1661.43,,,,1,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/layout_attributes.js,layout_attributes.js,,2017-01-02,29.98,5,186,0,15.10,103277.76,55,C,870,191,556,314,221,12,233,6841.84,,,,,2,,,,,,1
plotly/js/versions/2017/Q1_2017-01-02/src/plots/pad_attributes.js,pad_attributes.js,,2017-01-02,26.74,2,34,0,10.94,10792.94,55,C,165,36,116,49,53,10,63,986.25,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/plots.js,plots.js,,2017-01-02,41.00,377,1640,0,41.76,5587258.94,55,C,12815,2017,7172,5643,1374,16,1390,133799.74,1,22,,86,202,,,70,,5,15
plotly/js/versions/2017/Q1_2017-01-02/src/plots/subplot_defaults.js,subplot_defaults.js,,2017-01-02,43.87,13,60,0,14.14,55595.52,55,C,520,73,328,192,174,15,189,3932.37,,2,,2,1,,,1,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/cartesian/attributes.js,attributes.js,,2017-01-02,31.56,3,34,0,12.38,14883.91,55,C,193,37,130,63,63,12,75,1202.16,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/cartesian/axes.js,axes.js,,2017-01-02,41.31,268,1932,0,51.37,9432345.72,55,C,17446,2200,9356,8090,1457,16,1473,183611.15,1,90,5,102,293,,,90,,3,18
plotly/js/versions/2017/Q1_2017-01-02/src/plots/cartesian/axis_autotype.js,axis_autotype.js,,2017-01-02,34.07,14,59,0,17.36,66359.12,55,C,528,73,293,235,135,16,151,3821.88,,2,,3,9,,,9,,,1
plotly/js/versions/2017/Q1_2017-01-02/src/plots/cartesian/axis_defaults.js,axis_defaults.js,,2017-01-02,40.84,45,186,0,20.92,248575.58,55,C,1456,231,756,700,271,15,286,11880.77,,5,,4,26,,,9,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/cartesian/axis_ids.js,axis_ids.js,,2017-01-02,36.71,23,97,0,21.18,140758.98,55,C,887,120,466,421,165,15,180,6645.27,,2,,3,16,,,16,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/cartesian/category_order_defaults.js,category_order_defaults.js,,2017-01-02,41.13,9,23,0,9.31,10332.93,65,B-,176,32,104,72,67,12,79,1109.47,,,,,4,,,1,,,1
plotly/js/versions/2017/Q1_2017-01-02/src/plots/cartesian/constants.js,constants.js,,2017-01-02,34.77,19,53,0,10.14,33375.07,55,C,439,72,262,177,168,13,181,3292.43,,,,5,1,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/cartesian/dragbox.js,dragbox.js,,2017-01-02,41.15,109,654,0,34.16,1806006.86,55,C,5611,763,2861,2750,670,16,686,52867.21,2,22,2,29,86,,,28,,,3
plotly/js/versions/2017/Q1_2017-01-02/src/plots/cartesian/graph_interact.js,graph_interact.js,,2017-01-02,41.61,190,1157,0,44.88,4388081.03,55,C,9823,1347,5475,4348,976,16,992,97780.07,,31,,55,141,,,41,,2,15
plotly/js/versions/2017/Q1_2017-01-02/src/plots/cartesian/index.js,index.js,,2017-01-02,42.08,82,293,0,27.77,562487.95,55,C,2356,375,1288,1068,371,16,387,20252.62,1,2,,16,21,,,4,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/cartesian/layout_attributes.js,layout_attributes.js,,2017-01-02,37.45,7,525,0,34.21,1041716.05,55,C,3389,532,2244,1145,492,15,507,30453.02,,,1,20,10,,,,,,16
plotly/js/versions/2017/Q1_2017-01-02/src/plots/cartesian/layout_defaults.js,layout_defaults.js,,2017-01-02,42.66,31,143,0,18.85,166158.07,55,C,1114,174,568,546,226,15,241,8814.96,,3,,6,15,,,3,,,1
plotly/js/versions/2017/Q1_2017-01-02/src/plots/cartesian/ordered_categories.js,ordered_categories.js,,2017-01-02,49.56,22,55,0,16.35,63983.92,55,C,535,77,314,221,144,15,159,3912.39,,,,6,4,,,7,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/cartesian/position_defaults.js,position_defaults.js,,2017-01-02,38.49,12,51,0,13.86,34634.11,55,C,365,63,200,165,101,14,115,2498.60,,,,1,4,,,1,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/cartesian/select.js,select.js,,2017-01-02,38.85,29,169,0,24.23,267276.83,55,C,1414,198,672,742,208,15,223,11030.47,2,6,,6,12,,,5,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/cartesian/set_convert.js,set_convert.js,,2017-01-02,41.92,63,351,0,29.62,896175.66,55,C,3332,414,1944,1388,525,16,541,30252.84,,13,1,18,42,,,36,1,,3
plotly/js/versions/2017/Q1_2017-01-02/src/plots/cartesian/tick_label_defaults.js,tick_label_defaults.js,,2017-01-02,34.67,12,70,0,13.46,41698.45,55,C,444,82,234,210,113,13,126,3097.91,,,,,8,,,3,,,1
plotly/js/versions/2017/Q1_2017-01-02/src/plots/cartesian/tick_mark_defaults.js,tick_mark_defaults.js,,2017-01-02,41.67,7,24,0,8.98,9667.91,65,B-,175,31,98,77,60,11,71,1076.21,,,,,1,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/cartesian/tick_value_defaults.js,tick_value_defaults.js,,2017-01-02,43.75,10,72,0,14.20,65154.83,55,C,623,82,332,291,152,13,165,4589.22,,8,,4,11,,,,,,1
plotly/js/versions/2017/Q1_2017-01-02/src/plots/cartesian/transition_axes.js,transition_axes.js,,2017-01-02,41.44,71,239,0,36.87,601945.57,55,C,2071,310,1014,1057,220,16,236,16324.95,,6,,9,15,,,7,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/geo/constants.js,constants.js,,2017-01-02,28.59,19,137,0,12.22,65597.27,55,C,698,156,397,301,195,12,207,5370.05,,,,2,,,,,,,2
plotly/js/versions/2017/Q1_2017-01-02/src/plots/geo/geo.js,geo.js,,2017-01-02,37.98,123,437,0,30.70,822102.46,55,C,3062,560,1585,1477,413,16,429,26776.68,9,9,,8,21,,,16,,2,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/geo/index.js,index.js,,2017-01-02,35.98,30,87,0,17.94,83667.55,55,C,645,117,323,322,135,15,150,4662.59,,,,4,4,,,1,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/geo/projections.js,projections.js,,2017-01-02,42.52,5,439,0,58.36,2726529.80,55,C,5523,444,2451,3072,336,16,352,46721.44,,1,,7,22,,,78,,9,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/geo/set_scale.js,set_scale.js,,2017-01-02,42.59,29,120,0,18.45,155265.84,55,C,1069,149,580,489,220,14,234,8413.42,,,,1,1,,,4,,,2
plotly/js/versions/2017/Q1_2017-01-02/src/plots/geo/zoom.js,zoom.js,,2017-01-02,38.51,78,347,0,33.29,879484.07,55,C,3065,425,1569,1496,377,16,393,26415.35,,6,1,10,17,,6,24,1,1,2
plotly/js/versions/2017/Q1_2017-01-02/src/plots/geo/zoom_reset.js,zoom_reset.js,,2017-01-02,29.61,10,23,0,7.50,5980.73,65,B-,135,33,75,60,50,10,60,797.43,,,,,,,,1,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/geo/layout/attributes.js,attributes.js,,2017-01-02,29.87,3,23,0,8.28,6137.74,65,B-,121,26,80,41,58,12,70,741.64,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/geo/layout/axis_attributes.js,axis_attributes.js,,2017-01-02,25.67,4,57,0,10.92,16451.35,55,C,232,61,142,90,78,12,90,1506.11,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/geo/layout/axis_defaults.js,axis_defaults.js,,2017-01-02,38.40,19,53,0,15.94,40281.99,55,C,378,72,187,191,88,15,103,2527.50,,1,,1,2,,,3,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/geo/layout/defaults.js,defaults.js,,2017-01-02,35.49,24,93,0,15.22,67500.26,55,C,612,117,300,312,138,14,152,4435.73,,1,,1,11,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/geo/layout/layout_attributes.js,layout_attributes.js,,2017-01-02,28.54,4,253,0,21.36,164591.95,55,C,1012,257,655,357,184,12,196,7706.09,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/gl2d/camera.js,camera.js,,2017-01-02,37.87,34,128,0,28.00,188051.53,55,C,961,162,452,509,113,14,127,6716.13,,2,,,5,,,2,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/gl2d/convert.js,convert.js,,2017-01-02,40.19,51,193,0,30.80,448053.22,55,C,1841,244,920,921,224,15,239,14545.50,,5,,2,16,,,11,,,1
plotly/js/versions/2017/Q1_2017-01-02/src/plots/gl2d/index.js,index.js,,2017-01-02,35.95,25,85,0,17.83,80957.95,55,C,628,110,321,307,135,15,150,4539.70,,,,3,4,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/gl2d/scene2d.js,scene2d.js,,2017-01-02,38.49,140,479,0,37.41,1227426.89,55,C,3742,619,1964,1778,420,16,436,32810.55,,4,,16,31,,,10,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/gl3d/camera.js,camera.js,,2017-01-02,34.79,23,218,0,33.72,384510.16,55,C,1502,241,746,756,177,16,193,11403.87,,1,,1,9,,,19,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/gl3d/index.js,index.js,,2017-01-02,37.34,35,97,0,20.49,113801.44,55,C,755,132,379,376,148,16,164,5554.95,,,,4,4,,,2,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/gl3d/project.js,project.js,,2017-01-02,24.96,7,25,0,13.16,14607.60,55,C,185,32,94,91,50,14,64,1110.00,,,,2,,,,2,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/gl3d/scene.js,scene.js,,2017-01-02,38.15,129,598,0,36.30,1576754.65,55,C,4769,727,2432,2337,536,16,552,43438.55,,19,,24,54,,,14,1,,4
plotly/js/versions/2017/Q1_2017-01-02/src/plots/gl3d/set_convert.js,set_convert.js,,2017-01-02,29.14,5,14,0,6.31,3237.04,65,B-,90,19,53,37,42,10,52,513.04,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/gl3d/layout/attributes.js,attributes.js,,2017-01-02,29.78,3,23,0,8.36,6934.63,65,B-,134,26,85,49,61,12,73,829.44,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/gl3d/layout/axis_attributes.js,axis_attributes.js,,2017-01-02,31.92,4,111,0,14.32,52669.05,55,C,506,115,339,167,142,12,154,3676.99,,,,,,,,,,,1
plotly/js/versions/2017/Q1_2017-01-02/src/plots/gl3d/layout/axis_defaults.js,axis_defaults.js,,2017-01-02,38.51,16,51,0,11.77,29941.26,55,C,364,67,190,174,113,14,127,2543.88,,,,1,2,,,1,,,1
plotly/js/versions/2017/Q1_2017-01-02/src/plots/gl3d/layout/convert.js,convert.js,,2017-01-02,45.63,27,126,0,30.71,320060.67,55,C,1384,153,696,688,170,15,185,10423.43,,6,,2,29,,,1,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/gl3d/layout/defaults.js,defaults.js,,2017-01-02,39.35,19,88,0,16.35,78594.11,55,C,630,107,372,258,182,16,198,4806.49,,,,3,5,,,2,,,2
plotly/js/versions/2017/Q1_2017-01-02/src/plots/gl3d/layout/layout_attributes.js,layout_attributes.js,,2017-01-02,30.75,11,157,0,17.96,105648.27,55,C,792,168,479,313,160,12,172,5881.60,,,1,2,1,,,1,,,3
plotly/js/versions/2017/Q1_2017-01-02/src/plots/gl3d/layout/spikes.js,spikes.js,,2017-01-02,31.29,10,34,0,13.89,22418.96,55,C,256,44,129,127,65,14,79,1613.77,,,,1,,,,1,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/gl3d/layout/tick_marks.js,tick_marks.js,,2017-01-02,39.89,18,76,0,19.85,103185.76,55,C,727,94,363,364,128,14,142,5197.87,,1,,6,3,,,1,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/mapbox/constants.js,constants.js,,2017-01-02,35.62,7,21,0,7.35,6561.80,65,B-,140,28,87,53,71,12,83,892.51,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/mapbox/convert_text_opts.js,convert_text_opts.js,,2017-01-02,30.45,12,60,0,14.29,39257.51,55,C,406,72,211,195,96,13,109,2747.88,,3,,1,3,,,2,,,1
plotly/js/versions/2017/Q1_2017-01-02/src/plots/mapbox/index.js,index.js,,2017-01-02,36.69,40,119,0,20.38,131884.23,55,C,863,159,451,412,166,15,181,6472.37,,,,7,6,,,3,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/mapbox/layers.js,layers.js,,2017-01-02,33.69,56,167,0,25.14,199085.10,55,C,1045,223,590,455,176,15,191,7918.41,,3,,1,11,,,8,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/mapbox/layout_attributes.js,layout_attributes.js,,2017-01-02,33.19,18,247,0,19.67,181562.26,55,C,1172,265,731,441,223,12,235,9231.28,,,,6,1,,,,,,4
plotly/js/versions/2017/Q1_2017-01-02/src/plots/mapbox/layout_defaults.js,layout_defaults.js,,2017-01-02,33.34,24,70,0,14.10,44108.74,55,C,444,94,220,224,117,15,132,3127.71,,,,1,6,,,1,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/mapbox/mapbox.js,mapbox.js,,2017-01-02,33.21,107,352,0,28.29,607072.46,55,C,2511,459,1354,1157,359,15,374,21461.25,,6,,10,16,,,14,1,,1
plotly/js/versions/2017/Q1_2017-01-02/src/plots/polar/area_attributes.js,area_attributes.js,,2017-01-02,28.50,3,20,0,7.16,4037.58,65,B-,98,23,63,35,44,10,54,563.98,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/polar/axis_attributes.js,axis_attributes.js,,2017-01-02,30.50,9,139,0,14.39,60734.78,55,C,580,148,343,237,143,12,155,4220.15,,,,,,,,1,,,1
plotly/js/versions/2017/Q1_2017-01-02/src/plots/polar/index.js,index.js,,2017-01-02,30.90,3,10,0,4.67,1706.98,70,B,67,13,42,25,36,8,44,365.78,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/polar/micropolar.js,micropolar.js,,2017-01-02,43.56,50,1367,0,68.68,6832610.12,55,C,10727,1417,5177,5550,603,16,619,99480.01,21,26,,3,91,,,149,,2,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/polar/micropolar_manager.js,micropolar_manager.js,,2017-01-02,38.90,11,73,0,14.75,55111.89,55,C,542,84,263,279,107,12,119,3736.99,,,,,3,,,6,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/polar/undo_manager.js,undo_manager.js,,2017-01-02,33.76,6,58,0,18.20,45015.81,55,C,381,64,182,199,75,15,90,2473.40,,,,,6,,,14,,,
